game_id,date,status,home_assists,home_blocks,home_defensiverebounds,home_fastbreakpoints,home_fieldgoalpct,home_fieldgoalsmade_fieldgoalsattempted,home_flagrantfouls,home_fouls,home_freethrowpct,home_freethrowsmade_freethrowsattempted,home_offensiverebounds,home_pointsinpaint,home_score,home_steals,home_team_abbr,home_team_id,home_team_name,home_teamturnovers,home_technicalfouls,home_threepointfieldgoalpct,home_threepointfieldgoalsmade_threepointfieldgoalsattempted,home_totalrebounds,home_totaltechnicalfouls,home_totalturnovers,home_turnoverpoints,home_turnovers,away_assists,away_blocks,away_defensiverebounds,away_fastbreakpoints,away_fieldgoalpct,away_fieldgoalsmade_fieldgoalsattempted,away_flagrantfouls,away_fouls,away_freethrowpct,away_freethrowsmade_freethrowsattempted,away_offensiverebounds,away_pointsinpaint,away_score,away_steals,away_team_abbr,away_team_id,away_team_name,away_teamturnovers,away_technicalfouls,away_threepointfieldgoalpct,away_threepointfieldgoalsmade_threepointfieldgoalsattempted,away_totalrebounds,away_totaltechnicalfouls,away_totalturnovers,away_turnoverpoints,away_turnovers,point_diff,home_win
400578507,,,31.0,4.0,23.0,13.0,51.2,0.5121951219512195,1.0,24.0,87.5,0.875,9.0,36.0,,2.0,ATL,1,Atlanta Hawks,1.0,2.0,41.7,0.4166666666666667,45.0,2.0,14.0,19.0,13.0,24.0,7.0,25.0,25.0,51.2,0.5121951219512195,0.0,24.0,84.8,0.8484848484848485,11.0,42.0,,7.0,TOR,28,Toronto Raptors,0.0,1.0,48.3,0.4827586206896552,43.0,1.0,11.0,14.0,11.0,,
400578517,,,,,,,,,,,,,,,,,ATL,1,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,NO,3,New Orleans Pelicans,,,,,,,,,,,
400578529,,,31.0,5.0,39.0,9.0,53.3,0.5333333333333333,1.0,17.0,81.3,0.8125,5.0,40.0,,8.0,ATL,1,Atlanta Hawks,2.0,0.0,52.2,0.5217391304347826,50.0,0.0,14.0,19.0,12.0,20.0,4.0,25.0,2.0,33.0,0.32954545454545453,0.0,16.0,75.0,0.75,13.0,24.0,,3.0,CHA,30,Charlotte Hornets,0.0,1.0,21.7,0.21739130434782608,51.0,1.0,12.0,15.0,12.0,,
400578546,,,36.0,8.0,27.0,6.0,52.4,0.524390243902439,0.0,14.0,85.7,0.8571428571428571,4.0,44.0,,8.0,ATL,1,Atlanta Hawks,0.0,0.0,45.8,0.4583333333333333,37.0,0.0,16.0,11.0,16.0,33.0,3.0,33.0,10.0,48.8,0.4880952380952381,0.0,20.0,84.6,0.8461538461538461,9.0,36.0,,10.0,BOS,2,Boston Celtics,2.0,0.0,52.2,0.5217391304347826,49.0,0.0,23.0,28.0,21.0,,
400578559,,,25.0,5.0,26.0,5.0,56.3,0.5625,0.0,24.0,75.0,0.75,4.0,50.0,,10.0,MIA,14,Miami Heat,1.0,0.0,37.5,0.375,36.0,0.0,19.0,23.0,18.0,25.0,1.0,25.0,11.0,54.1,0.5405405405405406,0.0,24.0,87.0,0.8695652173913043,5.0,42.0,,9.0,ATL,1,Atlanta Hawks,3.0,0.0,48.0,0.48,37.0,0.0,19.0,15.0,16.0,,
400578572,,,16.0,2.0,42.0,9.0,37.5,0.375,0.0,21.0,63.2,0.631578947368421,9.0,32.0,,4.0,BKN,17,Brooklyn Nets,2.0,1.0,16.7,0.16666666666666666,60.0,1.0,19.0,22.0,17.0,22.0,4.0,40.0,14.0,43.2,0.43209876543209874,0.0,22.0,62.5,0.625,6.0,28.0,,12.0,ATL,1,Atlanta Hawks,1.0,0.0,38.2,0.38235294117647056,52.0,0.0,11.0,8.0,10.0,,
400578587,,,26.0,4.0,32.0,13.0,41.4,0.41379310344827586,0.0,15.0,73.7,0.7368421052631579,11.0,38.0,,9.0,ATL,1,Atlanta Hawks,0.0,1.0,37.0,0.37037037037037035,56.0,1.0,12.0,19.0,12.0,25.0,4.0,36.0,14.0,36.6,0.3655913978494624,0.0,22.0,76.9,0.7692307692307693,16.0,46.0,,9.0,DEN,7,Denver Nuggets,0.0,0.0,17.1,0.17142857142857143,62.0,0.0,14.0,14.0,14.0,,
400578593,,,23.0,2.0,34.0,15.0,44.0,0.44047619047619047,0.0,22.0,52.9,0.5294117647058824,8.0,36.0,,6.0,IND,11,Indiana Pacers,0.0,1.0,33.3,0.3333333333333333,48.0,1.0,17.0,15.0,17.0,27.0,7.0,41.0,10.0,51.9,0.5194805194805194,0.0,20.0,70.4,0.7037037037037037,6.0,48.0,,11.0,ATL,1,Atlanta Hawks,0.0,0.0,42.9,0.42857142857142855,52.0,0.0,16.0,13.0,16.0,,
400578611,,,26.0,1.0,36.0,10.0,41.8,0.4175824175824176,0.0,16.0,69.2,0.6923076923076923,16.0,44.0,,15.0,ATL,1,Atlanta Hawks,4.0,0.0,33.3,0.3333333333333333,65.0,0.0,18.0,19.0,14.0,21.0,10.0,32.0,14.0,41.7,0.4166666666666667,0.0,18.0,59.1,0.5909090909090909,7.0,40.0,,10.0,PHI,20,Philadelphia 76ers,0.0,0.0,24.0,0.24,43.0,0.0,18.0,20.0,18.0,,
400578622,,,24.0,3.0,37.0,11.0,37.2,0.3717948717948718,0.0,12.0,74.1,0.7407407407407407,5.0,24.0,,12.0,ATL,1,Atlanta Hawks,0.0,0.0,31.0,0.3103448275862069,53.0,0.0,12.0,10.0,12.0,14.0,4.0,37.0,3.0,39.0,0.38961038961038963,0.0,27.0,75.0,0.75,9.0,26.0,,3.0,ORL,19,Orlando Magic,1.0,0.0,34.6,0.34615384615384615,54.0,0.0,19.0,18.0,18.0,,
