game_id,date,home_team_code,away_team_code,home_team_name,away_team_name,home_score,away_score,arena,city,season,status
11999,2023-03-04T01:00:00.000Z,CHI,PHX,Chicago Bulls,Phoenix Suns,104.0,125.0,United Center,Chicago,2022,Finished
12000,2023-03-04T01:00:00.000Z,OKC,UTA,Oklahoma City Thunder,Utah Jazz,130.0,103.0,Paycom Center,Oklahoma City,2022,Finished
12001,2023-03-04T03:00:00.000Z,DEN,MEM,Denver Nuggets,Memphis Grizzlies,113.0,97.0,Ball Arena,Denver,2022,Finished
12002,2023-03-04T03:00:00.000Z,GSW,NOP,Golden State Warriors,New Orleans Pelicans,108.0,99.0,Chase Center,San Francisco,2022,Finished
12003,2023-03-04T03:00:00.000Z,SAC,LAC,Sacramento Kings,LA Clippers,128.0,127.0,Golden 1 Center,Sacramento,2022,Finished
12004,2023-03-04T03:30:00.000Z,LAL,MIN,Los Angeles Lakers,Minnesota Timberwolves,102.0,110.0,crypto.com Arena,Los Angeles,2022,Finished
12005,2023-03-04T22:00:00.000Z,WAS,TOR,Washington Wizards,Toronto Raptors,109.0,116.0,Capital One Arena,Washington,2022,Finished
12006,2023-03-05T00:30:00.000Z,CLE,DET,Cleveland Cavaliers,Detroit Pistons,114.0,90.0,Rocket Mortgage FieldHouse,Cleveland,2022,Finished
12007,2023-03-05T01:00:00.000Z,MIA,ATL,Miami Heat,Atlanta Hawks,117.0,109.0,Miami-Dade Arena,Miami,2022,Finished
12008,2023-03-05T01:00:00.000Z,SAS,HOU,San Antonio Spurs,Houston Rockets,110.0,122.0,AT&T Center,San Antonio,2022,Finished
12009,2023-03-05T01:30:00.000Z,MIL,PHI,Milwaukee Bucks,Philadelphia 76ers,130.0,133.0,Fiserv Forum,Milwaukee,2022,Finished
12010,2023-03-05T03:00:00.000Z,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,134.0,138.0,Golden 1 Center,Sacramento,2022,Finished
13831,2023-03-05T18:00:00.000Z,DAL,PHX,Dallas Mavericks,Phoenix Suns,126.0,130.0,,,2022,Finished
13832,2023-03-05T20:30:00.000Z,CHI,IND,Chicago Bulls,Indiana Pacers,122.0,125.0,,,2022,Finished
13833,2023-03-05T20:45:00.000Z,LAL,GSW,Los Angeles Lakers,Golden State Warriors,113.0,105.0,,,2022,Finished
13834,2023-03-05T23:00:00.000Z,BKN,CHA,Brooklyn Nets,Charlotte Hornets,102.0,86.0,,,2022,Finished
13835,2023-03-05T23:00:00.000Z,ORL,POR,Orlando Magic,Portland Trail Blazers,119.0,122.0,,,2022,Finished
13836,2023-03-06T00:00:00.000Z,HOU,SAS,Houston Rockets,San Antonio Spurs,142.0,110.0,,,2022,Finished
13837,2023-03-06T00:00:00.000Z,OKC,UTA,Oklahoma City Thunder,Utah Jazz,129.0,119.0,,,2022,Finished
13838,2023-03-06T00:30:00.000Z,BOS,NYK,Boston Celtics,New York Knicks,129.0,131.0,,,2022,Finished
13839,2023-03-06T00:30:00.000Z,WAS,MIL,Washington Wizards,Milwaukee Bucks,111.0,117.0,,,2022,Finished
13840,2023-03-06T03:00:00.000Z,LAC,MEM,LA Clippers,Memphis Grizzlies,135.0,129.0,,,2022,Finished
13841,2023-03-07T00:00:00.000Z,CLE,BOS,Cleveland Cavaliers,Boston Celtics,118.0,114.0,,,2022,Finished
13842,2023-03-07T00:00:00.000Z,IND,PHI,Indiana Pacers,Philadelphia 76ers,143.0,147.0,,,2022,Finished
13843,2023-03-07T00:30:00.000Z,MIA,ATL,Miami Heat,Atlanta Hawks,130.0,128.0,,,2022,Finished
13844,2023-03-07T02:00:00.000Z,DEN,TOR,Denver Nuggets,Toronto Raptors,118.0,113.0,,,2022,Finished
13845,2023-03-07T03:00:00.000Z,SAC,NOP,Sacramento Kings,New Orleans Pelicans,123.0,108.0,,,2022,Finished
12026,2023-03-08T00:00:00.000Z,DET,POR,Detroit Pistons,Portland Trail Blazers,104.0,110.0,,,2022,Finished
13846,2023-03-08T00:00:00.000Z,ORL,MIL,Orlando Magic,Milwaukee Bucks,123.0,134.0,,,2022,Finished
13847,2023-03-08T00:00:00.000Z,DET,WAS,Detroit Pistons,Washington Wizards,117.0,119.0,,,2022,Finished
13848,2023-03-08T00:30:00.000Z,NYK,CHA,New York Knicks,Charlotte Hornets,105.0,112.0,,,2022,Finished
13849,2023-03-08T00:30:00.000Z,MIN,PHI,Minnesota Timberwolves,Philadelphia 76ers,94.0,117.0,,,2022,Finished
13850,2023-03-08T01:00:00.000Z,HOU,BKN,Houston Rockets,Brooklyn Nets,96.0,118.0,,,2022,Finished
13851,2023-03-08T01:00:00.000Z,OKC,GSW,Oklahoma City Thunder,Golden State Warriors,137.0,128.0,,,2022,Finished
13852,2023-03-08T01:30:00.000Z,DAL,UTA,Dallas Mavericks,Utah Jazz,120.0,116.0,,,2022,Finished
13853,2023-03-08T03:00:00.000Z,LAL,MEM,Los Angeles Lakers,Memphis Grizzlies,112.0,103.0,,,2022,Finished
13854,2023-03-09T00:00:00.000Z,WAS,ATL,Washington Wizards,Atlanta Hawks,120.0,122.0,,,2022,Finished
13855,2023-03-09T00:30:00.000Z,BOS,POR,Boston Celtics,Portland Trail Blazers,115.0,93.0,,,2022,Finished
13856,2023-03-09T00:30:00.000Z,MIA,CLE,Miami Heat,Cleveland Cavaliers,100.0,104.0,,,2022,Finished
13857,2023-03-09T00:30:00.000Z,NOP,DAL,New Orleans Pelicans,Dallas Mavericks,113.0,106.0,,,2022,Finished
13858,2023-03-09T02:00:00.000Z,DEN,CHI,Denver Nuggets,Chicago Bulls,96.0,117.0,,,2022,Finished
13859,2023-03-09T02:00:00.000Z,PHX,OKC,Phoenix Suns,Oklahoma City Thunder,132.0,101.0,,,2022,Finished
13860,2023-03-09T03:00:00.000Z,LAC,TOR,LA Clippers,Toronto Raptors,108.0,100.0,,,2022,Finished
13861,2023-03-10T00:00:00.000Z,DET,CHA,Detroit Pistons,Charlotte Hornets,103.0,113.0,,,2022,Finished
13862,2023-03-10T00:00:00.000Z,IND,HOU,Indiana Pacers,Houston Rockets,134.0,125.0,,,2022,Finished
13863,2023-03-10T00:00:00.000Z,ORL,UTA,Orlando Magic,Utah Jazz,124.0,131.0,,,2022,Finished
13864,2023-03-10T00:30:00.000Z,MEM,GSW,Memphis Grizzlies,Golden State Warriors,131.0,110.0,,,2022,Finished
13865,2023-03-10T01:00:00.000Z,MIL,BKN,Milwaukee Bucks,Brooklyn Nets,118.0,113.0,,,2022,Finished
13866,2023-03-10T03:00:00.000Z,SAC,NYK,Sacramento Kings,New York Knicks,122.0,117.0,,,2022,Finished
13867,2023-03-11T00:00:00.000Z,PHI,POR,Philadelphia 76ers,Portland Trail Blazers,120.0,119.0,,,2022,Finished
13868,2023-03-11T00:00:00.000Z,WAS,ATL,Washington Wizards,Atlanta Hawks,107.0,114.0,,,2022,Finished
13869,2023-03-11T01:00:00.000Z,MIA,CLE,Miami Heat,Cleveland Cavaliers,119.0,115.0,,,2022,Finished
13870,2023-03-11T01:00:00.000Z,MIN,BKN,Minnesota Timberwolves,Brooklyn Nets,123.0,124.0,,,2022,Finished
13871,2023-03-11T01:00:00.000Z,SAS,DEN,San Antonio Spurs,Denver Nuggets,128.0,120.0,,,2022,Finished
13872,2023-03-11T03:30:00.000Z,LAL,TOR,Los Angeles Lakers,Toronto Raptors,122.0,112.0,,,2022,Finished
13873,2023-03-11T21:00:00.000Z,LAC,NYK,LA Clippers,New York Knicks,106.0,95.0,,,2022,Finished
13874,2023-03-12T00:00:00.000Z,CHA,UTA,Charlotte Hornets,Utah Jazz,111.0,119.0,,,2022,Finished
13875,2023-03-12T00:00:00.000Z,DET,IND,Detroit Pistons,Indiana Pacers,115.0,121.0,,,2022,Finished
13876,2023-03-12T00:00:00.000Z,ORL,MIA,Orlando Magic,Miami Heat,126.0,114.0,,,2022,Finished
13877,2023-03-12T00:30:00.000Z,ATL,BOS,Atlanta Hawks,Boston Celtics,125.0,134.0,,,2022,Finished
13878,2023-03-12T01:00:00.000Z,HOU,CHI,Houston Rockets,Chicago Bulls,111.0,119.0,,,2022,Finished
13879,2023-03-12T01:00:00.000Z,MEM,DAL,Memphis Grizzlies,Dallas Mavericks,112.0,108.0,,,2022,Finished
13880,2023-03-12T01:30:00.000Z,NOP,OKC,New Orleans Pelicans,Oklahoma City Thunder,96.0,110.0,,,2022,Finished
13881,2023-03-12T01:30:00.000Z,GSW,MIL,Golden State Warriors,Milwaukee Bucks,125.0,116.0,,,2022,Finished
13882,2023-03-12T02:00:00.000Z,PHX,SAC,Phoenix Suns,Sacramento Kings,119.0,128.0,,,2022,Finished
13883,2023-03-12T19:30:00.000Z,DEN,BKN,Denver Nuggets,Brooklyn Nets,120.0,122.0,,,2022,Finished
13884,2023-03-12T21:00:00.000Z,CHA,CLE,Charlotte Hornets,Cleveland Cavaliers,108.0,114.0,,,2022,Finished
13885,2023-03-12T22:00:00.000Z,PHI,WAS,Philadelphia 76ers,Washington Wizards,112.0,93.0,,,2022,Finished
13886,2023-03-12T23:00:00.000Z,NOP,POR,New Orleans Pelicans,Portland Trail Blazers,127.0,110.0,,,2022,Finished
13887,2023-03-12T23:00:00.000Z,SAS,OKC,San Antonio Spurs,Oklahoma City Thunder,90.0,102.0,,,2022,Finished
13888,2023-03-13T01:00:00.000Z,LAL,NYK,Los Angeles Lakers,New York Knicks,108.0,112.0,,,2022,Finished
13889,2023-03-13T23:00:00.000Z,DET,IND,Detroit Pistons,Indiana Pacers,117.0,97.0,,,2022,Finished
13890,2023-03-13T23:30:00.000Z,ATL,MIN,Atlanta Hawks,Minnesota Timberwolves,115.0,136.0,,,2022,Finished
13891,2023-03-13T23:30:00.000Z,MIA,UTA,Miami Heat,Utah Jazz,119.0,115.0,,,2022,Finished
