game_id,date,home_team,visitor_team,home_win,home_games_in_window,home_win_rate,home_avg_points,home_avg_points_allowed,home_net_rating,home_streak,home_momentum,home_rest_days,home_back_to_back,home_home_win_rate,home_home_avg_score,home_away_win_rate,home_away_avg_score,home_h2h_win_rate,visitor_games_in_window,visitor_win_rate,visitor_avg_points,visitor_avg_points_allowed,visitor_net_rating,visitor_streak,visitor_momentum,visitor_rest_days,visitor_back_to_back,visitor_home_win_rate,visitor_home_avg_score,visitor_away_win_rate,visitor_away_avg_score,visitor_h2h_win_rate,win_rate_diff,net_rating_diff,rest_advantage,momentum_diff,streak_diff,month,day_of_week,is_weekend,visitor_player_avg_points,visitor_player_top5_points,visitor_player_depth,visitor_player_consistency,home_player_avg_points,home_player_top5_points,home_player_depth,home_player_consistency
11052,2022-10-19 23:00:00+00:00,DET,ORL,1,5,0.2,101.8,110.2,-8.400000000000006,-4,-1.0,6,0,0.3333333333333333,103.13333333333334,0.4,109.4,0.8,5,0.8,106.4,105.2,1.2000000000000028,4,1.0,5,0,0.5333333333333333,105.26666666666667,0.3333333333333333,100.46666666666667,0.2,-0.6000000000000001,-9.600000000000009,1,-2.0,-8,10,2,0,7.584444444444443,11.64,5.0,0.5071352022810814,7.446428571428571,11.5,6.0,0.39720690171342155
11055,2022-10-19 23:30:00+00:00,BKN,NOP,0,5,0.6,101.8,106.0,-4.200000000000003,2,0.3333333333333333,4,0,0.5333333333333333,110.93333333333334,0.6,114.28571428571429,1.0,5,0.8,114.0,110.8,3.200000000000003,1,0.3333333333333333,4,0,0.6,111.93333333333334,0.5333333333333333,107.26666666666667,0.0,-0.20000000000000007,-7.400000000000006,0,0.0,1,10,2,0,8.767857142857142,10.97,7.0,0.5566382642106869,8.36111111111111,12.066666666666666,6.0,0.3195958308849116
11056,2022-10-19 23:30:00+00:00,MIA,CHI,0,5,0.8,113.8,104.4,9.399999999999991,4,1.0,7,0,0.6,101.53333333333333,0.4666666666666667,95.86666666666666,1.0,5,0.8,123.4,109.6,13.800000000000011,3,1.0,7,0,0.4,110.4,0.5333333333333333,101.8,0.0,0.0,-4.40000000000002,0,0.0,1,10,2,0,9.73076923076923,13.2,9.0,0.4715291141647705,8.806410256410258,12.816666666666666,6.0,0.4537208171591097
11057,2022-10-19 23:30:00+00:00,TOR,CLE,1,5,0.6,114.8,113.2,1.5999999999999943,1,-0.3333333333333333,5,0,0.6666666666666666,107.4,0.6666666666666666,104.13333333333334,0.25,5,0.4,103.2,105.8,-2.5999999999999943,-1,-0.3333333333333333,5,0,0.4666666666666667,106.13333333333334,0.2,105.8,0.75,0.19999999999999996,4.199999999999989,0,0.0,2,10,2,0,8.059523809523808,13.433333333333332,7.0,0.3697344543436095,8.11111111111111,12.916666666666666,7.0,0.43157091865582553
11059,2022-10-20 00:00:00+00:00,MIN,OKC,1,5,0.8,114.8,110.4,4.3999999999999915,-1,0.3333333333333333,5,0,0.5333333333333333,109.53333333333333,0.4666666666666667,110.14285714285714,1.0,5,0.8,120.8,100.8,20.0,4,1.0,6,0,0.5333333333333333,110.13333333333334,0.4,99.66666666666667,0.0,0.0,-15.600000000000009,-1,-0.6666666666666667,-5,10,3,0,10.512820512820515,13.16,10.0,0.6065920405564187,7.8311111111111105,12.18,8.0,0.43929557438196853
11060,2022-10-20 00:00:00+00:00,SAS,CHA,0,5,0.2,103.0,113.8,-10.799999999999997,-1,-0.3333333333333333,6,0,0.26666666666666666,104.06666666666666,0.4666666666666667,115.86666666666666,0.0,8,0.125,93.0,105.125,-12.125,-7,-1.0,7,0,0.4666666666666667,107.86666666666666,0.4666666666666667,110.4,1.0,0.07500000000000001,1.3250000000000028,-1,0.6666666666666667,6,10,3,0,7.451388888888889,11.2,3.0,0.3844048389008715,5.884615384615386,9.716666666666667,3.0,0.2059087318353643
11063,2022-10-20 02:00:00+00:00,SAC,POR,0,5,1.0,112.2,88.0,24.200000000000003,6,1.0,5,0,0.4,107.33333333333333,0.6666666666666666,104.26666666666667,0.75,5,0.2,105.6,112.4,-6.800000000000011,-2,-0.3333333333333333,8,0,0.4,104.2,0.2,96.26666666666667,0.25,0.8,31.000000000000014,-3,1.3333333333333333,8,10,3,0,7.78125,10.58,6.0,0.4558095366509878,7.0,9.599999999999998,5.0,0.534315683138281
11064,2022-10-20 23:30:00+00:00,PHI,MIL,0,5,0.8,111.2,106.0,5.200000000000003,4,1.0,8,0,0.6666666666666666,102.26666666666667,0.5333333333333333,105.06666666666666,0.3333333333333333,5,0.0,105.0,116.4,-11.400000000000006,-6,-1.0,8,0,0.4666666666666667,104.8,0.5333333333333333,107.6,0.6666666666666666,0.8,16.60000000000001,0,2.0,10,10,3,0,8.083333333333332,11.4,4.0,0.5597086580086164,6.734375,9.466666666666667,3.0,0.37448786290605063
11066,2022-10-21 23:00:00+00:00,CHA,NOP,0,5,0.0,98.8,116.6,-17.799999999999997,-7,-1.0,9,0,0.4666666666666667,107.86666666666666,0.4666666666666667,110.4,1.0,5,0.8,114.0,110.8,3.200000000000003,1,0.3333333333333333,6,0,0.6,111.93333333333334,0.5333333333333333,107.26666666666667,0.0,-0.8,-21.0,3,-1.3333333333333333,-8,10,4,0,8.767857142857142,10.97,7.0,0.5566382642106869,7.451388888888889,11.2,3.0,0.3844048389008715
11067,2022-10-21 23:00:00+00:00,IND,SAS,0,5,0.4,105.6,106.8,-1.2000000000000028,-1,-0.3333333333333333,7,0,0.3333333333333333,112.4,0.26666666666666666,112.86666666666666,1.0,5,0.2,103.0,113.8,-10.799999999999997,-1,-0.3333333333333333,7,0,0.26666666666666666,104.06666666666666,0.4666666666666667,115.86666666666666,0.0,0.2,9.599999999999994,0,0.0,0,10,4,0,5.884615384615386,9.716666666666667,3.0,0.2059087318353643,7.571428571428571,12.3,5.0,0.37406455950984907
